id|text|location|lat|long|year|answer|author
1|Wann und Wo wurde die Golden Gate Bridge eingeweiht?|San Francisco|37.82|-122.48|1937|Die Golden Gate Bridge ist eine Hängebrücke und das Wahrzeichen der Stadt San Franciso. Sie bekam ihren Namen durch die Bucht 'Golden Gate', der zur Zeit des Goldrausches entstand.|
2|Wann und Wo wurde Karl der Große zum Kaiser gekrönt?|Rom|41.9|12.5|800|Der Frankenkönig Karl wurde am Abend des 1. Weihnachtstags 800 im Petersdom von Papst Leo III. als erster Westeuropäer seit der Antike zum Kaiser gekrönt.|
3|Wann und Wo begann der Dreißigjährige Krieg?|Prag|50.08|14.44|1618|Der Dreißigjährige Krieg von 1618 bis 1648 war sowohl ein Konflikt um die Hegemonie in Europa als auch ein Religionskrieg. Er begann mit dem Prager Fenstersturz.|
4|Wann und Wo wurde Coca Cola erfunden?|Atlanta|33.76|-84.39|1886|John Stith Pemberton braute mit Wein, Kolanüssen, Damiana und den Blättern der Cocapflanze einen Sirup, der als Mittel gegen Müdigkeit, Kopfschmerzen und Depressionen gedacht war. Daraus wurde später Coca Cola.|
5|Wann und Wo begann die Französische Revolution?|Paris|48.87|2.37|1789|Die Französische Revolution (1789 bis 1799) gehört zu den folgenreichsten Ereignissen der europäischen Geschichte. Sie löste viele politisches Umstürze in weiten Teilen Europas aus.|
6|Wann und Wo wurde Wilhelm I. zum ersten Deutschen Kaiser gekrönt?|Versailles|48.87|2.37|1871|Wilhelm I. wurde am 18. Januar 1871 im Kronsaal von Versailles zum Deutschen Kaiser gekrönt. Damit wurde das Deutsche Reich gegründet.|
7|Wann und Wo tagte der Bundestag der Bundesrepublik Deutschland zum ersten Mal?|Bonn|50.73|7.1|1949|Von 1949 bis 1999 fanden die Plenarsitzungen des Deutschen Bundestages im Bundeshaus zu Bonn statt.|
8|Wann und Wo rief Philipp Scheidemann die erste deutsche Republik aus?|Berlin|52.55|13.44|1918|Am 9.11.1918 um 14:00 rief der SPD-Politiker aus dem Reichstagsgebäudes die bürgerliche Republik aus. Zwei Stunden später folgte ihm Karl Liebknecht mit der Proklamation einer sozialistischen Republik.|
9|Wann und Wo unterlag Napoleon in der Völkerschlacht?|Leipzig|51.35|12.34|1813|Die Völkerschlacht bei Leipzig vom 16. bis 19. Oktober 1813 war die Entscheidungsschlacht der Befreiungskriege gegen die napoleonische Herrschaft über Europa.|
10|Wann und Wo wurde die erste Atombombe in einem Krieg eingesetzt?|Hiroshima|34.38|132.43|1945|Am 6. August 1945 warf ein US-Bomber die Atombombe 'Little Boy' auf Hiroshima, das dadurch fast komplett ausgelöscht wurde. Der Abwurf drei Tage später auf Nagasaki war der bis heute letzte Einsatz einer Atomwaffe.|
11|Wann und Wo wurde das Automobil erfunden?|Mannheim|49.52|8.48|1886|Carl Benz gilt als Erfinder des Automobils mit dem Benz Patent-Motorwagen Nummer 1. Es war 265 kg schwer, hatte 0,67 PS und erreichte eine Höchstgeschwindigkeit von 16 km/h.|
12|Wann und Wo erhielt Albert Einstein den Nobelpreis für Physik?|Stockholm|59.33|18.07|1922|Albert Einstein erhielt den Nobelpreis von der Schwedischen Akadmie der Wissenschaften für seine Entdeckung des 'Gesetzes des photoelektrischen Effektes'. Er konnte den Preis allerdings nicht persönlich annehmen.|
13|Wann und Wo wurde die chinesische Demokratiebewegung gewaltsam niedergeschlagen?|Peking|39.94|116.4|1989|Die monatelangen Proteste der Demokratiebewegung in China endeten mit dem so genannten Tian’anmen-Massaker, bei dem bis zu 3000 Menschen starben.|
14|Wann und Wo starb Erich Honecker?|Santiago de Chile|-33.44|-70.69|1994|Der ehemalige Generalsekretär des Zentralkomitees der DDR, Erich Honecker, starb 1994 in Santiago de Chile.|
15|Wann und Wo begannen die Friedensgebte in der Deutschen Demokratischen Republik?|Leipzig|51.35|12.34|1982|Ab November 1982 fanden jeden Montag Friedensgebete in der Leipziger Nikolaikirche statt. Die Monatsgebete waren mit Auslöser der 'Friedlichen Revolution'.|
16|Wann und Wo startete die erste Rakete, die einen Satelliten in die Erdumlaufbahn brachte?|Baikonur|45.61|63.31|1957|Die Sowjetunion gewann die erste Runde im Wettlauf um die Erforschung des Weltraums durch die erfolgreiche Platzierung von 'Sputnik' in der Erdumlaufbahn. Sie startete im heutigen Kasachstan.|
17|Wann und Wo wurde der Eiffelturm eingeweiht?|Paris|48.87|2.37|1889|Nach nur 18 Monaten Bauzeit wurde der Eiffelturm pünktlich zur Weltausstellung 1889 eingeweiht. Er ist 324 Meter hoch und wiegt 10.000 Tonnen.|
18|Wann und Wo war der Mauerfall?|Berlin|52.55|13.44|1989|Am Abend des 9. November 1989 wurde es den Bürgern der DDR ermöglicht, 'über Grenzübergangspunkte der DDR auszureisen'. Damit fiel die Berliner Mauer, die Deutschland 28 Jahre lang trennte.|
19|Wann und Wo begann der Zweite Weltkrieg?|Danzig|54.4|18.65|1939|Die ersten Schüsse des Zweiten Weltkriegs trafen die polnische Garnision auf der Westerplatte. Das Linienschiff Schleswig Holstein begann so den Krieg in Europa.|
