id|text|location|lat|long|year|answer|author
294|Wann und Wo wurde das antike Rom gegründet?||||-753||
295|Wann und Wo wurde die Bibel geschrieben?||||||
296|Wann und Wo wurde das Rad erfunden?||||||
297|Wann und Wo wurde Caesar zum Diktator wenannt?|Rom|||-45||
298|Wann und Wo begann der erste Kreuzzug?||||||
299|Wann und Wo wurde der Gordische Knoten durchschlagen?||||||
300|Wann und Wo wurde die Unabhängigkeitserklärung der USA unterzeichnet?|Philadelphia|||1776||
301|Wann und Wo begann der Wiener Kongress?|Wien|||1815||
302|Wann und Wo ergriff Adolf Hitler die Macht in der Weimarer Republik?|Berlin|||1933||
303|Wann und Wo wurde mit dem Bau der Berliner Mauer begonnen?|Berlin|||1961|'Niemand hat die Absicht eine Mauer zu errichten' (Walther Ulbricht)|
304|Wann und Wo trat das letzte Mal ein Papst von seinem Amt zurück?|Rom|||2013||
305|Wann und Wo wurde der Terroranschlag vom 11. September verübt?|New York City|||2001||
306|Wann und Wo wurden die meisten Landschaftsaufnahmen in 'Der Herr der Ringe' gedreht?|Neuseeland|||?||
307|Wann und Wo wurde die Krim annektiert?|Krim|||2014||
308|Wann und Wo begang Adolf Hitler Selbstmord?|Berlin|||1945||
309|Wann und Wo brach Marco Polo auf seine Weltreise auf?|Venedig|||||
310|Wann und Wo wurde der Hadrianswall fertiggestellt?||||||
